,id,cast,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,tmdb_score
0,tm1000037,"['Luna Wedler', 'Jannis Niewöhner', 'Milan Peschel', 'Edin Hasanović', 'Anna Fialová', 'Marlon Boess', 'Victor Boccard', 'Fleur Geffrier', 'Aziz Dyab', 'Mélanie Fouché', 'Elizaveta Maximová', 'Daniela Hirsh', 'Sara Sandeva', 'Christian Schwochow']",Je suis Karl,MOVIE,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021.0,R,126.0,"['drama', 'thriller', 'european', 'romance']","['CZ', 'DE']",0.0,5.4,5.5
1,tm1000166,"['Glenn Fredly', 'Marcello Tahitoe', 'Andien Aisyah', 'Cantika Abigail', 'Gamaliel Tapiheru', 'M. Irfan Ramli', 'Saron Sakina']",Wave of Cinema: Surat Dari Timur,MOVIE,"Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly.",2020.0,,57.0,['music'],['ID'],0.0,0.0,0.0
2,tm1000185,"['Adrianna Chlebicka', 'Mateusz Banasiuk', 'Mirosław Baka', 'Anna Smołowik', 'Krzysztof Czeczot', 'Wojciech Kalarus', 'Bartłomiej Kotschedoff', 'Agnieszka Żulewska', 'Tomasz Karolak', 'Jacek Knap', 'Sebastian Stankiewicz', 'Jarosław Boberek', 'Ewa Kolasińska', 'Izabela Dąbrowska', 'Grażyna Zielińska', 'Helena Mazur', 'Grzegorz Daukszewicz', 'Iwo Rajski', 'Izabela Dąbrowska', 'Marek Braun', 'Filip Zylber']",Squared Love,MOVIE,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,2021.0,,102.0,"['comedy', 'romance']",['PL'],0.0,5.1,6.1
3,tm100027,"['Dharmendra', 'Hema Malini', 'Zeenat Aman', 'Prem Chopra', 'Zakir Mukhamedzhanov', 'Sofiko Chiaureli', 'Yelena Sanayeva', 'Frunzik Mkrtchyan', 'Maya-Gozel Aimedova', 'Umesh Mehra', 'Latif Faiziyev']",Alibaba Aur 40 Chor,MOVIE,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979.0,,146.0,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",0.0,6.2,6.8
4,tm1000296,"['Yang Tianxiang', 'He Zhang', 'Xuan Xiaoming', 'Li Shimeng', 'Keer Zhu', 'Zhenhe Ling', 'Ruoban Liu', 'Zhang Yaohan', 'Guo Haoran', 'Zengzhi Gao', 'Dashiell McGaha-Schletter', 'Jonny Siew', 'Zhang Zhe', 'Zhao Ji']",New Gods: Nezha Reborn,MOVIE,"Three thousand years ago, the world was in turmoil and a great calamity befell both man and god. However, the dragons are not satisfied with their grudge against Nezha, and Li Yunxiang, who has the spirit of Nezha, cannot escape the fate of being killed by the dragons. With the East China Sea at stake, will Li Yunxiang be able to fight alongside Nezha's spirit and become a hero against the dragons? Will the people of East China Sea be saved?",2021.0,,116.0,"['animation', 'action', 'fantasy']",['CN'],0.0,6.8,8.2
5,tm1000551,"['Ini Dima-Okojie', 'Ruslaan Mumtaz', 'Richard Mofe-Damijo', 'Joke Silva', 'Osas Ighodaro', 'Anee Icha', 'Sujata Sehgal', 'Koye Kekere Ekun', 'Suliman Ibrahim', 'Imoh Eboh', 'Frodd', 'Hamisha Daryani Ahuja', 'Hamisha Daryani Ahuja']",Namaste Wahala,MOVIE,A Nigerian woman and an Indian man won't let cultural differences get in the way of their romance.,2020.0,,106.0,"['comedy', 'drama', 'romance']",['NG'],0.0,5.1,7.7
6,tm1000599,"['David Kopenawa Yanomami', 'Ehuana Yaira Yanomami', 'Pedrinho Yanomami', 'Joselino Yanomami', 'Nilson Wakari Yanomami', 'Júnior Wakari Yanomami', 'Luiz Bolognesi']",The Last Forest,MOVIE,"In powerful images, alternating between documentary observation and staged sequences, and dense soundscapes, Luiz Bolognesi documents the Indigenous community of the Yanomami and depicts their threatened natural environment in the Amazon rainforest.",2021.0,,74.0,"['drama', 'documentation']",['BR'],0.0,7.3,7.0
7,tm1000619,"['Prabhas', 'Pooja Hegde', 'Bhagyashree', 'Sathyaraj', 'Krishnam Raju', 'Jagapati Babu', 'Priyadarshi Pullikonda', 'Murali Sharma', 'Kunaal Roy Kapur', 'Sachin Khedekar', 'Riddhi Kumar', 'Sathyan Sivakumar', 'Jayaram', 'Thalaivasal Vijay', 'Sasha Chettri', 'Mahati Bikshu', 'Surya Bhagawan Das', 'Mandava Sai Kumar', 'Radha Krishna Kumar']",Radhe Shyam,MOVIE,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",2022.0,,138.0,"['drama', 'romance']",['IN'],0.0,5.3,5.5
8,tm1000797,"['Kiko Mizuhara', 'Honami Sato', 'Yoko Maki', 'Anne Suzuki', 'Shunsuke Tanaka', 'Tetsushi Tanaka', 'Sara Minami', 'Yui Uemura', 'Shinya Niiro', 'Setsuko Karasuma', 'Ryuichi Hiroki']",Ride or Die,MOVIE,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",2021.0,R,142.0,"['thriller', 'romance', 'drama']",['JP'],0.0,5.6,6.5
9,tm100106,"['John Lloyd Cruz', 'Toni Gonzaga', 'Diane Medina', 'Angel Locsin', 'Kaye Abad', 'Bea Saw', 'Jodi Sta. Maria', 'Denise Laurel', 'Gee-Ann Abrahan', 'Carlos Agassi', 'Ketchup Eusebio', 'JM de Guzman', 'Joross Gamboa', 'Nico Antonio', 'Arnold Reyes', 'Cai Cortez', 'Atoy Co', 'Janet Dangcalan', 'Naomi Tamayo', 'Mely Soriano', 'Cathy Garcia-Molina']",My Amnesia Girl,MOVIE,"When Apollo finds himself surrounded by friends who are beginning to settle down, he is faced with the possibility of finding his true love. It all boils down to one name: Irene. It must be fate then, when he once again sees Irene, his ex-girlfriend from three years ago with whom he had the best memories with. Apollo and Irene were a perfect couple until circumstances led them to fall apart.Now, Irene has no recollection of Apollo, having acquired amnesia shortly after their separation. Apollo sees this as the perfect opportunity to pursue Irene again, and be able to undo all the mistakes he made in the past, by offering Irene the best memories she could ever have.True love is difficult to resist, they learn. Just when they find themselves ready to commit to each other, the pains from the past catch up with them, challenging them to finally own up to the mistakes made and lies said, and eventually realize what it is to forgive and forget.",2010.0,,110.0,"['comedy', 'romance']",['PH'],0.0,6.7,6.4
